Start,End,Open,High,Low,Close,Volume, Market Cap
2018-05-20,2018-05-21,696.8499999,722.2063753,690.6278819,715.3427724,1588563980,70840987243
2018-05-19,2018-05-20,693.9047882,714.7941436,684.8515835,695.8814659,1710168161,69459689556
2018-05-18,2018-05-19,672.2990131,694.5988273,661.9905457,693.7737539,1970151109,67658236226
2018-05-17,2018-05-18,706.8319838,716.952416,669.0088388,672.6005445,1915828764,69885130966
2018-05-16,2018-05-17,709.8891629,710.6741462,681.1608655,706.5910293,2135205505,69137721474
2018-05-15,2018-05-16,732.7922486,739.4515279,702.4924951,710.0461796,2296056270,72165885703
2018-05-14,2018-05-15,732.3544631,743.4145362,693.6844792,733.1950025,2401854388,71798973638
2018-05-13,2018-05-14,685.4361941,740.6771041,674.0985488,732.967223,1991532221,70412805014
2018-05-12,2018-05-13,678.3589001,691.0062958,639.1849606,685.8034538,2507689923,66899013556
2018-05-11,2018-05-12,726.2627013,737.0607861,670.4732688,678.9407266,2587642193,69558655147
2018-05-10,2018-05-11,751.8648916,768.0362187,726.2097159,726.2097159,2259418273,75061213834
2018-05-09,2018-05-10,752.6876074,756.5098017,717.4661474,751.8073367,2355723512,73702070594
2018-05-08,2018-05-09,753.1496062,774.382613,727.4151411,753.1902909,3154153996,74755611985
2018-05-07,2018-05-08,795.3600068,797.2009967,706.5756093,751.0236055,3055762824,73835285790
2018-05-06,2018-05-07,818.5636395,838.5973046,762.7169541,794.8774155,2567631427,78754802529
2018-05-05,2018-05-06,785.9315083,828.9171671,784.8502649,817.8082993,2664498194,80368536218
2018-05-04,2018-05-05,780.878138,805.9981838,763.7257929,785.6332772,3283591990,77225520650
2018-05-03,2018-05-04,688.1959205,787.1581625,687.3927619,782.9910366,2780814599,72796665546
2018-05-02,2018-05-03,672.8145471,690.2859193,667.4140754,688.0575147,2031154464,67527370600
2018-05-01,2018-05-02,670.7166783,674.3421843,637.8069694,673.8099967,2387378886,65340259359
2018-04-30,2018-05-01,690.2834665,694.8672653,665.6978043,669.439037,2277307110,67752744168
2018-04-29,2018-04-30,682.7649695,697.5578899,669.3661765,690.4507083,2264211536,68013904627
2018-04-28,2018-04-29,646.4599054,692.3914545,643.7873062,682.8805439,2146870120,66841062368
2018-04-27,2018-04-28,662.8868774,684.9565369,647.6671081,648.458302,2276524110,65827532007
2018-04-26,2018-04-27,616.7863108,662.8901729,603.8757165,662.8347229,3078977558,62796525507
2018-04-25,2018-04-26,706.0485692,706.0485692,601.8976448,615.6679401,3650186955,63954270395
2018-04-24,2018-04-25,643.7978004,709.5888246,643.7978004,706.4938475,2610345463,68183026314
2018-04-23,2018-04-24,621.8733799,648.2841296,621.148442,643.8047375,2066115430,63100594359
2018-04-22,2018-04-23,605.1464063,641.0010837,593.6085135,622.5056976,2040947126,61568028046
2018-04-21,2018-04-22,615.9468882,621.1851762,576.8870566,604.2075263,2325073660,59835450921
2018-04-20,2018-04-21,569.0696989,617.8820955,561.4016995,615.3706535,2189062534,57548574485
2018-04-19,2018-04-20,524.3131018,569.2468682,522.1592575,569.2468682,1761637032,53657618484
2018-04-18,2018-04-19,503.1896869,524.4886808,502.473656,523.4855077,1472509263,50765986722
2018-04-17,2018-04-18,510.9133796,517.5471923,502.0399223,503.0061094,1435953212,50444969683
2018-04-16,2018-04-17,531.156801,533.7990221,499.24781,510.9605298,1500169018,50536169896
2018-04-15,2018-04-16,499.2807149,530.1782726,499.2807149,530.1782726,1423628567,51373281513
2018-04-14,2018-04-15,492.6222725,509.8143981,485.6030961,498.4140672,1776280299,49208057246
2018-04-13,2018-04-14,489.0429819,523.1253773,479.6293683,492.8288197,2396892173,49839063384
2018-04-12,2018-04-13,429.409785,489.859457,417.0882538,489.4017962,1764313485,44194104227
2018-04-11,2018-04-12,415.5715124,430.0392403,412.968858,430.0392403,1158211287,41322177149
2018-04-10,2018-04-11,398.7829063,416.7058212,394.2891216,415.2371978,1137254117,39880041281
2018-04-09,2018-04-10,400.408651,428.3221424,391.430455,397.6987369,1228442068,40029940831
2018-04-08,2018-04-09,386.0187232,402.5016001,385.7701605,399.7265065,859696197,38923798688
